total_nacional_region__,comuna_56__,total__numero_de_upa7,total__superficie_ha,tamano_de_la_upa__menores_de_1_ha__numero_de_upa,tamano_de_la_upa__menores_de_1_ha__superficie_ha,tamano_de_la_upa__de_1_a_menos_de_5_ha__numero_de_upa,tamano_de_la_upa__de_1_a_menos_de_5_ha__superficie_ha,tamano_de_la_upa__de_5_a_menos_de_1ha__numero_de_upa,tamano_de_la_upa__de_5_a_menos_de_1ha__superficie_ha,tamano_de_la_upa__de_1a_menos_de_2ha__numero_de_upa,tamano_de_la_upa__de_1a_menos_de_2ha__superficie_ha,tamano_de_la_upa__de_2a_menos_de_5ha__numero_de_upa,tamano_de_la_upa__de_2a_menos_de_5ha__superficie_ha,tamano_de_la_upa__de_5a_menos_de_10ha__numero_de_upa,tamano_de_la_upa__de_5a_menos_de_10ha__superficie_ha,tamano_de_la_upa__de_10a_menos_de_20ha__numero_de_upa,tamano_de_la_upa__de_10a_menos_de_20ha__superficie_ha,tamano_de_la_upa__de_20a_menos_de_50ha__numero_de_upa,tamano_de_la_upa__de_20a_menos_de_50ha__superficie_ha,tamano_de_la_upa__de_50a_menos_de_1.00ha__numero_de_upa,tamano_de_la_upa__de_50a_menos_de_1.00ha__superficie_ha,tamano_de_la_upa__de_1.00a_menos_de_2.00ha__numero_de_upa,tamano_de_la_upa__de_1.00a_menos_de_2.00ha__superficie_ha,tamano_de_la_upa__de_2.00ha_y_mas__numero_de_upa,tamano_de_la_upa__de_2.00ha_y_mas__superficie_ha
Total Nacional,Total Nacional,138628,45742565.15956164,9760,4812.9755983871,41364,112371.8344172803,26782,187204.2692584142,23827,328164.6494103421,18987,583233.4512363597,7771,535992.0470633383,4352,600643.68789072,3079,946853.5893312059,1241,854083.0907121255,663,911699.0543616049,802,40677506.51028187
Región de Arica y Parinacota,Total Región,1267,421712.261,153,78.281,732,1777.35665,183,1210.33,92,1183.8,53,1608.8406,11,708.14,9,1165,13,4752.89275,12,8131.17,3,3817,6,397279.45
Región de Arica y Parinacota,Arica,962,20038.905,116,64.575,596,1444.79665,141,927.21,67,867.36,32,939.9005999999999,6,408.14,1,100,1,275.89275,0,0,1,1787.05,1,13223.98
Región de Arica y Parinacota,Camarones,122,8366.171,27,9.281,58,140.68,19,125.25,10,123,4,103,1,60,0,0,0,0,0,0,0,0,3,7804.96
Región de Arica y Parinacota,Putre,151,363580.085,10,4.915,73,175.68,17,117.77,14,185.15,11,389.14,3,190,7,895,9,3169,5,2951.17,1,1050,1,354452.26
Región de Arica y Parinacota,General Lagos,42,29727.1,1,0.01,9,19.7,7,47.1,2,21.09,5,153,1,50,2,281.2,3,1308,7,5180,2,2767,3,19900
Región de Tarapacá,Total Región,835,2363446.3311,333,137.6645,353,766.9986,69,446.608,36,469.645,20,650,11,682.129,4,462,5,1603.95,0,0,0,0,4,2358227.336
Región de Tarapacá,Iquique/Alto Hospicio,13,76947.5066,6,2.753,5,11.8136,0,0,1,18.18,0,0,0,0,0,0,0,0,0,0,0,0,1,76914.76
Región de Tarapacá,Pozo Almonte,180,845300.8559999999,52,24.746,82,183.554,21,121.6,10,121.67,3,88,5,295.226,1,113.5,4,1248.45,0,0,0,0,2,843104.1099999999
Región de Tarapacá,Camiña,183,205928.148,126,47.128,53,86.76,2,12.82,1,11,0,0,0,0,0,0,0,0,0,0,0,0,1,205770.44
Región de Tarapacá,Colchane,73,5012.591,0,0,21,50.098,19,131.662,12,147.535,13,439,4,273.5,1,141.5,1,351.5,1,962.05,0,0,1,2515.746
Región de Tarapacá,Huara,215,1065361.6175,84,33.6055,109,236.532,12,71.46,5,69.6,2,45,2,104.8,0,0,0,0,0,0,0,0,1,1064800.62
Región de Tarapacá,Pica,192,164895.612,73,33.205,91,219.061,15,105.186,7,95.05,2,76.5,0,0,2,207,0,0,0,0,0,0,2,164159.61
Región de Antofagasta,Total Región,722,5688403.896,286,139.713,347,845.46,58,367.975,17,208.14,5,180.14,1,51.9,0,0,2,865,0,0,0,0,6,5685745.568
Región de Antofagasta,Antofagasta,103,2551720.838,93,45.158,6,11.8,1,7.8,1,11.1,1,22.2,0,0,0,0,0,0,0,0,0,0,1,2551622.78
Región de Antofagasta,Taltal,62,40027.85000000001,38,22.73,22,34.82,1,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,39963.8
Región de Antofagasta,San Pedro de Atacama,326,196897.452,79,34.24,192,498.209,34,222.625,12,155.74,3,128.42,0,0,0,0,0,0,0,0,0,0,6,195858.218
Región de Antofagasta,Calama/Ollagüe,232,296272.956,76,36.375,125,297.221,23,136.27,3,31.3,1,29.52,1,51.9,0,0,2,865,0,0,0,0,1,294825.37
