Total Nacional - Región_0,comuna_6_7_8_1,número__de_upa_2,superficie_(ha)_3,número_de_upa_4,superficie_(ha)_5,número_de_upa_6,superficie_(ha)_7,número_de_upa_8,superficie_(ha)_9,número_de_upa_10,superficie_(ha)_11,número_de_upa_12,superficie_(ha)_13,número_de_upa_14,superficie_(ha)_15,número_de_upa_16,superficie_(ha)_17,número_de_upa_18,superficie_(ha)_19,número_de_upa_20,superficie_(ha)_21,número_de_upa_22,superficie_(ha)_23,número_de_upa_24,superficie_(ha)_25,número_de_upa_26,superficie_(ha)_27,número_de_upa_28,superficie_(ha)_29,número_de_upa_30,superficie_(ha)_31,número_de_upa_32,superficie_(ha)_33,número_de_upa_34,superficie_(ha)_35,número_de_upa_36,superficie_(ha)_37,número_de_upa_38,superficie_(ha)_39
Región de Tarapacá ,huara,2150,10653616175,320,8363,80,2148,00,00,1690,33342445412848,490,40402,10,05,20,06,20,0021,00,00,940,88557,10,246190,10,961175,00,00,40,9551436,840,583465,80,263069553,200,67147113,830,1834404587156
Región de Tarapacá ,pica,1920,164895612,30,6404,00,00,00,00,200,6278000000000001,1750,214113,00,00,00,00,00,00,160,0983,120,1836,10,0128,10,46601,00,00,20,3959892,1480,398632,70,41446973,210,8273149799999999,1620,23837
Región de Antofagasta,total_región,7220,5688403896000001,530,253,820,11703,10,0003,5260,249667,2560,95543,170,4855,290,144,30,005200000000000001,170,4306,3860,622412,150,16139,630,24507,30,0861,720,364064764,3760,713426,120,21413845,1330,5108279008,4660,15146
Región de Antofagasta,antofagasta,1030,2551720838,00,00,10,03,00,00,870,12892,110,5224,00,00,10,005,30,005200000000000001,80,2502,10,30,00,00,00,00,00,00,10,28609945,610,7759,10,12448332,160,2141063306,1000,42983
Región de Antofagasta,taltal,620,4002785,00,00,00,00,00,00,200,0378,600,2566,00,00,00,00,00,00,20,0012,00,00,00,00,00,00,00,00,00,00,570,3251,10,14839,40,3981709,560,381
Región de Antofagasta,san_pedro_de_atacama,3260,196897452,170,4695,460,7296,00,00,2260,99516,1530,59308,170,4855,50,037,00,00,30,105,2230,416324,50,12163,610,24007,30,0861,530,7753345,1740,566886,100,2091,740,118094516,1690,51245
Región de Antofagasta,calama/ollagüe,2320,296272956,360,20605,340,4047,10,0003,1860,136171,340,5221,00,00,230,102,00,00,30,07,1640,202588,80,2276,20,05,00,00,190,431864,790,102691,30,817707,420,213544906,1300,49664
Región de Antofagasta,mejillones/sierra_gorda,120,141233664,00,00,10,006,00,00,70,021,20,013,00,00,00,00,00,00,10,001,00,00,00,00,00,00,00,00,00,00,80,291,10,770555,20,140462644,90,133
Región de Antofagasta,tocopilla/maría_elena,50,119114816,00,00,00,00,00,00,10,05,00,00,00,00,00,00,00,00,10,0032,10,05,20,17,00,00,00,00,00,00,20,067,10,958,20,119113275,50,2428
Región de Atacama,total_región,13520,446345424,370,15068,280,8776,60,216,3390,625362,9530,8126201,1500,48068,120,4868,10,30,240,11245,2600,1470072,610,76445,470,444495,110,6214,1120,232780925,7050,10949203,1170,97941577,3480,3227499043,10330,1244751
Región de Atacama,tierra_amarilla,1130,85092721,00,00,00,00,00,00,210,25305,710,448861,50,168,10,0013,00,00,20,0032,240,7377,10,0725,10,2665,00,00,180,94275,650,2375732,90,35773002,320,48528581,990,569618
Región de Atacama,copiapó/caldera,2080,1072608812,30,875,10,60,20,26,1070,205271,1090,1149246,100,1485,30,1753,00,00,80,4171,410,9193,10,120,10,1000,40,521,70,1041658,1260,1915347,150,334592295,540,72369359,1780,208679
Región de Atacama,chañaral/diego_de_almagro,150,211052872,00,00,00,00,00,00,40,027,10,001,00,00,00,00,00,00,00,00,30,152,00,00,00,00,20,203,20,1871427,80,3255,10,7151949,30,185182311,110,704
Región de Atacama,vallenar,2570,1892519650000016,150,10586,70,745,30,150,840,28519,1170,6923921146952999,140,1370,40,25,00,00,80,4062,560,8514,110,300,60,370,00,00,260,12437,1590,4248879057349378,70,17752898,610,4873820000000001,2280,241011827956937
