Total Nacional - Región_0,comuna_56_1,número_de_upa7_2,superficie_(ha)_3,número_de_upa_4,superficie_(ha)_5,número_de_upa_6,superficie_(ha)_7,número_de_upa_8,superficie_(ha)_9,número_de_upa_10,superficie_(ha)_11,número_de_upa_12,superficie_(ha)_13,número_de_upa_14,superficie_(ha)_15,número_de_upa_16,superficie_(ha)_17,número_de_upa_18,superficie_(ha)_19,número_de_upa_20,superficie_(ha)_21,número_de_upa_22,superficie_(ha)_23,número_de_upa_24,superficie_(ha)_25
Región de Magallanes y de la Antártica Chilena,punta_arenas,1740,4607925580007789,480,22358,410,75674,20,140,100,12467,100,33568,30,2180,60,10170,140,4675006,70,46720,80,120699800007789,250,43756819
Región de Magallanes y de la Antártica Chilena,laguna_blanca,320,2755052300021587,00,00,00,00,00,00,00,00,10,234,00,00,00,00,20,6210,00,00,00,00,290,2748608300021587
Región de Magallanes y de la Antártica Chilena,río_verde,350,26311008999921,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,10,999999999593,80,129234605261175,260,2491866294734995
Región de Magallanes y de la Antártica Chilena,san_gregorio,260,5973299999983354,00,00,00,00,00,00,00,00,00,00,10,500,00,00,00,00,00,00,00,00,250,5972799999983354
Región de Magallanes y de la Antártica Chilena,cabo_de_hornos,210,176225967,10,05,30,5300000000000001,30,225,20,220,20,460,10,800,00,00,20,8000,40,294674,10,19720,20,175636463
Región de Magallanes y de la Antártica Chilena,porvenir,1220,6811964916014435,60,34116,70,113,00,00,10,140,20,500,00,00,40,66937,40,15590,110,75790,70,93800,800,6619304100014435
Región de Magallanes y de la Antártica Chilena,primavera,430,3181309599985515,10,009,00,00,00,00,00,00,00,00,00,00,00,00,10,3800,00,00,20,26000,390,3151508699985515
Región de Magallanes y de la Antártica Chilena,timaukel,230,623134900000005,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,10,6890,10,18700,210,620575900000005
Región de Magallanes y de la Antártica Chilena,natales,1600,6024668411199311,100,5737,320,838944,140,865698,100,1606,60,19482,70,493999999725,110,16036,100,341315,60,40315,100,140200000000691,440,6000574539999517
Región de Magallanes y de la Antártica Chilena,torres_del_paine,280,4974043530002059,00,00,10,45,00,00,00,00,10,41183,00,00,00,00,00,00,00,00,00,00,260,4973586700002059
