total_nacional_region__,comuna_6_7_8__,categorias_de_uso_del_suelo__total__numero_de_upa,categorias_de_uso_del_suelo__total__superficie_ha,categorias_de_uso_del_suelo__cereales__numero_de_upa,categorias_de_uso_del_suelo__cereales__superficie_ha,categorias_de_uso_del_suelo__leguminosas_y_tuberculos__numero_de_upa,categorias_de_uso_del_suelo__leguminosas_y_tuberculos__superficie_ha,categorias_de_uso_del_suelo__cultivos_industriales__numero_de_upa,categorias_de_uso_del_suelo__cultivos_industriales__superficie_ha,categorias_de_uso_del_suelo__hortalizas_hongos_aromaticas_medicinales_y_condimentarias__numero_de_upa,categorias_de_uso_del_suelo__hortalizas_hongos_aromaticas_medicinales_y_condimentarias__superficie_ha,categorias_de_uso_del_suelo__frutales__numero_de_upa,categorias_de_uso_del_suelo__frutales__superficie_ha,categorias_de_uso_del_suelo__vides_para_vinificacion_y_uvas_pisqueras__numero_de_upa,categorias_de_uso_del_suelo__vides_para_vinificacion_y_uvas_pisqueras__superficie_ha,categorias_de_uso_del_suelo__flores_de_corte__numero_de_upa,categorias_de_uso_del_suelo__flores_de_corte__superficie_ha,categorias_de_uso_del_suelo__semilleros__numero_de_upa,categorias_de_uso_del_suelo__semilleros__superficie_ha,categorias_de_uso_del_suelo__viveros_y_cesped_alfombra__numero_de_upa,categorias_de_uso_del_suelo__viveros_y_cesped_alfombra__superficie_ha,categorias_de_uso_del_suelo__forrajeras__numero_de_upa,categorias_de_uso_del_suelo__forrajeras__superficie_ha,categorias_de_uso_del_suelo__plantaciones_forestales__numero_de_upa,categorias_de_uso_del_suelo__plantaciones_forestales__superficie_ha,categorias_de_uso_del_suelo__bosque_nativo__numero_de_upa,categorias_de_uso_del_suelo__bosque_nativo__superficie_ha,categorias_de_uso_del_suelo__praderas_mejoradas__numero_de_upa,categorias_de_uso_del_suelo__praderas_mejoradas__superficie_ha,categorias_de_uso_del_suelo__praderas_naturales__numero_de_upa,categorias_de_uso_del_suelo__praderas_naturales__superficie_ha,categorias_de_uso_del_suelo__terrenos_productivos_no_trabajados__numero_de_upa,categorias_de_uso_del_suelo__terrenos_productivos_no_trabajados__superficie_ha,categorias_de_uso_del_suelo__matorrales__numero_de_upa,categorias_de_uso_del_suelo__matorrales__superficie_ha,categorias_de_uso_del_suelo__terrenos_no_productivos__numero_de_upa,categorias_de_uso_del_suelo__terrenos_no_productivos__superficie_ha,categorias_de_uso_del_suelo__infraestructura__numero_de_upa,categorias_de_uso_del_suelo__infraestructura__superficie_ha
Región de Atacama,Total Región,1352,4463454.24,37,150.68,28,87.76,6,21.6,339,625.362,953,8126.201,150,480.68,12,4.868,1,3,24,11.245,260,1470.072,61,76.445,47,444.495,11,62.14,112,232780.925,705,10949.203,117,979415.77,348,3227499.043,1033,1244.751
Región de Atacama,Tierra Amarilla,113,850927.21,0,0,0,0,0,0,21,25.305,71,4488.61,5,16.8,1,0.013,0,0,2,0.032,24,73.77,1,0.725,1,266.5,0,0,18,94.275,65,2375.732,9,357730.02,32,485285.81,99,569.618
Región de Atacama,Copiapó/Caldera,208,1072608.812,3,8.75,1,6,2,2.6,107,205.271,109,1149.246,10,148.5,3,1.753,0,0,8,4.171,41,91.93,1,12,1,100,4,52.1,7,10416.58,126,1915.347,15,334592.295,54,723693.59,178,208.679
Región de Atacama,Chañaral/Diego de Almagro,15,2110528.72,0,0,0,0,0,0,4,0.27,1,0.01,0,0,0,0,0,0,0,0,3,1.52,0,0,0,0,2,2.03,2,187142.7,8,32.55,1,71519.49,3,1851823.11,11,7.04
Región de Atacama,Vallenar,257,189251.9650000016,15,105.86,7,74.5,3,15,84,285.19,117,692.3921146952999,14,137,4,2.5,0,0,8,4.062,56,851.4,11,30,6,37,0,0,26,124.37,159,4248.879057349378,7,177528.98,61,4873.820000000001,228,241.011827956937
Región de Atacama,Alto del Carmen,469,184018.4329999983,18,27.07,17,6.31,0,0,64,39.945,414,899.193,120,177.63,1,0.5,0,0,1,0.1,82,87.092,27,9.37,38,40.795,5,8.01,58,85.7,223,1801.054999998272,76,22181.875,100,158542.365,251,111.423
Región de Atacama,Freirina,131,2796.446,1,7,0,0,0,0,13,47.56,75,191.07,0,0,0,0,1,3,2,2.2,29,335.95,5,10.8,0,0,0,0,3,470.7,49,272.74,11,329.64,46,1070.551,113,55.235
Región de Atacama,Huasco,180,53322.65400000011,1,2,3,0.95,1,4,47,21.821,174,705.6798853047,2,0.75,3,0.102,0,0,4,0.68,27,28.41,16,13.55,1,0.2,0,0,1,34446.6,87,302.89994265235,4,15533.47,56,2209.797,163,51.744172043063
Región de Coquimbo,Total Región,6929,1895692.284,215,386.836,460,1303.888,7,6.43,1582,6010.88,3880,26318.87,882,6928.298,78,52.459,14,78.114,68,70.367,1422,2504.49,355,33545.013,492,34528.77,115,679.795,1054,261368.633,4048,36483.408,655,803388.306,1628,674299.069,5183,7738.658
Región de Coquimbo,La Serena,485,154447.4500000023,1,1,67,694.017923513,0,0,157,1387.3224231492,175,783.1635847026,3,44,15,8.812,0,0,16,16.799,73,191.265,37,395.98,3,350.25,8,21.25,22,10096.987,352,2399.418,25,127328.34,128,10228.758,411,500.087068637451
Región de Coquimbo,Coquimbo,419,72681.50599999775,14,20.089,58,378.592076487,2,2.18,171,2607.2075768508,180,1929.1954152974,0,0,15,11.83,1,4,23,11.318,52,81.96,18,21825.59,11,2221.82,7,354.36,21,12540.336,239,2438.212,39,14937.88,54,12330.85,389,986.085931362549
Región de Coquimbo,Andacollo,126,780.51,2,0.12,0,0,1,0.5,9,3.94,85,62.09,0,0,3,0.3,0,0,1,0.02,9,6.95,3,1.6,3,0.64,18,12.45,2,5.75,116,452.553,12,99.27999999999999,54,95.96000000000001,120,38.357
Región de Coquimbo,La Higuera,104,94750.08999999995,0,0,3,17.15,0,0,9,4.09409090909,77,129.12318181815,3,49,2,0.23,0,0,3,10.1,5,1.95,2,33,2,61,0,0,3,49.7,59,271.28727272726,5,40555.82,57,53530.61,42,37.02545454545
Región de Coquimbo,Paiguano,143,144241.038,0,0,2,0.02,0,0,7,0.632,95,827.2090000000001,80,335.628,0,0,0,0,1,0.01,20,30.9,3,0.573,18,693.252,1,1,19,19434.784,82,646.4449999999999,8,51805.863,39,70301.899,138,162.823
Región de Coquimbo,Vicuña,212,394719.627,0,0,5,26.15,0,0,30,34.015,127,2727.241,53,748.125,3,0.321,0,0,1,0.3,30,77.975,5,6.7,7,132.076,1,4,14,10481.72,107,2674.202,25,106559.11,74,270853.81,178,393.882
Región de Coquimbo,Illapel,500,182395.8540000001,10,8.3,24,12.215,0,0,131,73.93490909091,331,1480.01281818185,40,104.227,2,0.017,0,0,4,14.915,120,88.888,58,55.785,64,2315.28,20,36.725,146,36756.489,332,2488.14072727274,18,75098.265,139,63607.891,448,254.76854545455
Región de Coquimbo,Canela,799,100409.035,84,138.979,187,63.15,0,0,326,127.22,425,281.63,2,2.01,3,0.79,1,1.2,0,0,285,506.502,113,6702.716,31,2477.749,19,23.655,400,15848.235,464,3504.146,40,64069.49,66,6252.506,426,409.057
Región de Coquimbo,Los Vilos,310,78586.89,3,2.05,13,4.56,0,0,64,19.121,180,331.558,0,0,1,0.1,1,1.2,9,8.275,47,79.37,8,2677.85,69,9683.04,2,100,50,13130.17,196,2824.124,56,41479.093,64,8046.516,170,199.863
Región de Coquimbo,Salamanca,805,185730.768,13,10.28,21,10.59,0,0,117,60.263,483,1366.767,303,1060.624,4,0.434,0,0,2,1.03,196,188.496,16,5.67,26,44.288,25,39.955,79,522.837,506,2015.529,23,146738.23,133,33282.969,494,382.806
Región de Coquimbo,Ovalle,1101,109956.219,46,87.352,45,65.667,0,0,312,1555.3,462,9298.725,163,2889.75,15,26.99,11,71.714,4,5.8,223,609.85,55,1497.5,9,856.25,0,0,153,10949.8,489,6487.219,55,40901.52,318,33189.706,808,1463.076
Región de Coquimbo,Combarbalá,669,110660.607,29,101.726,8,2.226,0,0,121,29.43,402,563.667,4,5.7,10,2.084,0,0,3,0.8,121,169.823,21,201.749,158,11577.275,6,10.2,107,18116.68,461,3023.841,121,62375.65,152,13115.367,585,1364.389
Región de Coquimbo,Monte Patria,482,146232.86,1,0.3,7,3.95,0,0,46,59.18,328,5176.604,112,328.895,1,0.006,0,0,1,1,41,87.295,2,6.3,7,2641.2,4,31.1,15,90331.51,221,3443.447,18,15956.19,78,27217.81,299,948.073
Región de Coquimbo,Punitaqui,621,41386.563,7,15.25,17,12,4,3.75,77,41,423,1096.97,50,1188.4,1,0.48,0,0,0,0,124,100.55,12,132.1,82,1456.2,4,45.1,20,3082.665,316,2524.502,204,13943.855,190,17258.88,529,484.861
Región de Coquimbo,Río Hurtado,228,78713.267,5,1.39,6,13.6,0,0,12,8.22,142,264.914,75,171.939,3,0.065,0,0,0,0,77,282.716,5,1.9,3,18.45,0,0,8,20020.97,143,1290.342,15,1539.72,108,54985.537,182,113.504
Región de Valparaíso,Total Región,5484,645112.9467,219,2540.165,240,501.6,17,109.8,1407,3560.1244,2818,45363.849,114,7899.9,469,422.4603,35,144.939,240,333.889,846,6939.181,294,24611.155,466,168680.023,51,2679.1,613,127277.805,1897,65694.245,260,86248.069,1121,91776.427,4070,10330.215
Región de Valparaíso,Casablanca,235,47629.87600009679,16,271.19,9,21.2,0,0,62,101.256,74,628.045,48,4320.57,3,1.13,1,6,2,1.06,36,1652.88,30,4703.63476492,68,12009.1615507865,4,73,55,3151.24,41,3526.714075865944,24,6500.475,79,9080.223,177,1582.09660852435
Región de Valparaíso,Juan Fernández,1,9573.050000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.01,0,0,1,15,1,2733,0,0,1,2767,0,0,1,4033,1,0.01,1,25.03
Región de Valparaíso,Puchuncaví,88,8279.903,10,13.35,11,10.35,0,0,23,67.348,28,101.526,1,4.2,0,0,0,0,6,1.095,8,14.94,8,212.13,18,3918.49,10,150.5,40,2670.277,19,113.983,25,482.42,21,427.75,55,91.544
Región de Valparaíso,Quintero,42,5443.06,0,0,2,0.075,0,0,7,1.425,6,92.57,0,0,0,0,0,0,4,0.099,11,83.2,7,514,4,55.46,1,0.5,17,3451.1,12,225.286,3,611.255,17,378.38,27,29.71
Región de Valparaíso,Valparaíso/Viña del Mar/ Concón,27,14269.34599990033,1,1,1,1,0,0,5,11.4,7,53.8925407927,0,0,2,0.7999999999999999,0,0,2,1,6,55,6,4574.03223508,8,4279.9684492135,1,0.5,5,40.8,10,827.78725280234,3,216.45,11,4179.57,18,26.14552201179
Región de Valparaíso,Isla de Pascua,17,3014.409999999999,0,0,0,0,0,0,14,8.28,9,5.507,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,2,2801.49,12,167.81,1,6.07,4,6.738,15,18.015
Región de Valparaíso,Los Andes,25,54235.63600000012,1,8,0,0,0,0,0,0,17,1100.84444444456,0,0,0,0,0,0,0,0,4,17,1,11.21,3,44342.2,0,0,1,3000,0,0,0,0,8,5698.55,9,57.83155555555999
Región de Valparaíso,Calle Larga,107,27784.52000000038,4,89.35,3,27.1999999986,1,5.6,5,5.4,78,1683.49,1,4,0,0,0,0,0,0,42,270.080000001783,0,0,1,1294,0,0,1,17671,27,315.8,1,6000,22,206.08,56,212.52
Región de Valparaíso,Rinconada,54,2566.418000000509,5,33.5,3,12.5000000014,3,10.5,0,0,35,1200.7,1,9.5,0,0,0,0,0,0,22,276.674517603817,0,0,0,0,0,0,0,0,9,527.92,0,0,18,456.973482395292,15,38.15
Región de Valparaíso,San Esteban,147,4506.12000000005,6,76.2,1,0.7,0,0,6,12.8,125,2068.84149122809,3,116.22,1,0.15,0,0,2,3.5,27,123.7,0,0,1,1,0,0,2,8,21,177.19,0,0,17,1492.84,91,424.97850877196
Región de Valparaíso,La Ligua,460,47667.73200000538,13,14.53384615383,51,95.02,0,0,80,77.37869230766,264,1993.431945684939,0,0,132,83.119,0,0,6,22.55,34,65.09,12,87.21923076923,23,6096.75,2,3.02,65,6322.34692307692,246,19350.26447074766,25,2524.99076923075,78,10566.05605028209,342,365.961071752306
Región de Valparaíso,Cabildo,209,84471.46099999921,4,3.11615384617,6,13.8,0,0,18,124.23230769234,181,3545.199054315061,0,0,3,0.09999999999999999,1,0.5,8,4.675,4,3.1,2,0.16876923077,5,5407.71,0,0,12,23847.99307692308,118,1909.72252925694,6,41301.81923076925,32,7811.13894971791,176,498.185928247694
Región de Valparaíso,Papudo,22,13257.95,3,4.55,8,11.68,0,0,5,5.35,8,6.32,1,4,3,12.35,3,9.5,0,0,6,74.2,3,800,1,500,0,0,5,4133.46,4,2176.19,1,5494.6,4,7.45,15,18.3
Región de Valparaíso,Petorca,209,13035.24049003904,0,0,5,1.67,0,0,17,3.26,165,1149.5678446208,1,0.9,4,0.205,0,0,1,0.14,33,28.565,1,0.5,28,21.536,4,2.25,27,5996.097,117,1563.673,13,2083.369,62,2090.686,146,92.82164541824
Región de Valparaíso,Zapallar,51,9145.586,14,62.8,1,0.5,0,0,5,2.465,11,104.45,3,52.8,1,0.85,0,0,2,0.51,0,0,0,0,5,90.66,1,699,30,7694.953,4,64.84,3,183.5,8,108.25,30,80.008
Región de Valparaíso,Quillota,594,11620.268500013,3,8.9,1,0.12,0,0,363,812.1200000001,177,2264.8020000101,3,306.37,77,37.6275,14,28.555,32,29.701,11,127.9,3,7.3,20,3422.366666668,7,178.15,10,490.29,124,457.826,7,20,88,2742.2033333337,545,686.0370000011
Región de Valparaíso,Calera,136,1771.27500000684,1,0.5,3,3.6,0,0,16,24.52,101,524.96284927289,0,0,17,11.35,0,0,9,7.67,9,19.6,0,0,2,5.1288492746,0,0,3,80.57,29,394.67,2,0.9,16,631.61,113,66.19330145935
Región de Valparaíso,Hijuelas,460,12584.85699999935,7,7.5,13,24.1,0,0,120,341.4,184,2530.652697227555,3,272.08,155,206.915,1,0.7,48,99.29,75,189.25,3,6.9,30,6735.347,1,2.21,7,18.4,145,828.13,1,0.5,42,972.45,299,349.0323027718
Región de Valparaíso,La Cruz,213,3024.367999987805,0,0,0,0,0,0,31,73.9100967734,149,1426.153453496555,0,0,18,13.819032258,2,3.164516129,33,44.593,3,1.05,3,2.2,7,558.0544840574,0,0,0,0,37,275.9313548385,3,83.652,46,348.9896666663,176,192.85039576865
Región de Valparaíso,Nogales,237,19651.27850995836,10,42.3,35,71.386363637,0,0,44,96.956,115,2575.3471553792,1,0.4,19,15.74,4,61.7,20,24.382,37,105.55,2,853.8900000000001,11,4244.62,0,0,6,1380.4,133,2419.8454545422,4,1301.25,20,4983.308,183,1474.20353639996
Región de Valparaíso,San Antonio,143,22864.179,6,31.6,11,20.1,3,65,29,76.15,42,1604.41,17,1476.91,1,0.25,1,12,5,1.11,23,1008.1,26,1882.24,32,2008.43,6,82,72,8729.24,50,3044.726,29,490.16,44,1561.6,111,770.153
Región de Valparaíso,Algarrobo,89,3584.58,1,0.2,11,3.335,2,14.7,29,7.564,36,41.375,3,6.3,0,0,0,0,3,0.12,18,59.075,50,842.05,38,403.48,0,0,45,1024.883,47,265.11,24,277.79,43,564.083,83,74.515
Región de Valparaíso,Cartagena,76,9852.10999998016,6,623,0,0,0,0,23,90.55,30,175.6,6,481.83,3,4.17,1,1,1,0.5,0,0,18,457.10419462776,15,777.84102908,3,731.6051454,12,1197.9,38,1830.52,18,1807.95,21,1468.9,52,203.6396308724
Región de Valparaíso,Santo Domingo,319,36410.52299999505,47,552.17,11,21.81,0,0,60,127.242,167,3397.5049999929,8,300.75,3,4.518,3,12.5,7,2.7,65,557.7,87,4514.85,51,3567.12,4,203.5,98,7918.63,143,8018.861000003056,18,382.2,148,6418.666,246,409.8009999991
Región de Valparaíso,El Quisco/El Tabo,35,9894.67200001984,0,0,0,0,0,0,7,7.022,5,2.8,0,0,0,0,0,0,4,0.864,1,3.5,21,5048.23580537224,10,538.47897092,1,488.3948546,9,156.398,16,1407.66,8,1737.188,5,362.5,28,141.6303691276
Región de Valparaíso,San Felipe,278,12231.41519999586,13,95.2,7,8,2,5.7,40,70.888533333375,191,3926.949638693909,5,212.83,3,1.05,0,0,7,9.626581027668,82,464.65329267108,1,1.53,8,1126.0765931696,0,0,1,0.1,43,1813.714184273846,2,40.1,29,4110.242103626316,153,344.75427320007
Región de Valparaíso,Catemu,163,13112.40699997755,9,132.82,24,105.39808080754,1,2,56,413.7749887527,67,1504.38738236392,1,0.02,3,1.5578,0,0,0,0,63,573.7650331002,4,31.3,12,1619.32,2,53,15,7402.74,37,354.91616304696,9,8.55,50,772.47635278183,86,136.3811991244
Región de Valparaíso,Llaillay,118,20535.24600000342,0,0,4,17.91,0,0,44,369.3245589185,42,3739.14,3,56.2,3,4.670967742,2,2.535483871,4,14,38,289.122744678,2,12.5,2,327.73,0,0,2,187.6,35,708.4206451615,2,6778.56,15,7890.26,45,137.27159963242
Región de Valparaíso,Panquehue,135,7278.0630000163,28,384.885,10,11.08555555546,0,0,31,40.4855555553,74,2567.70713156979,7,147.6,2,0.258,0,0,4,11.05,41,468.0622222218,4,14.5,3,90.35000000000001,0,0,10,97.9,26,533.47347164448,1,300,14,2132.20364721817,109,478.5024162513
Región de Valparaíso,Putaendo,343,61066.04100000266,8,10.3,10,16.56,4,4.3,54,70.049666666625,243,1659.81820021503,3,5.01,0,0,1,0.004,5,1.108418972332,114,199.36318972332,1,0.3,2,47001,3,4.7,7,16.16,199,987.389855476898,3,2.97,45,10901.64,241,185.367668948455
